	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
CStree0(3)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
FHARVBT(1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FHARVBT(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FHARVBT(3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FHARVLT(1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHARVLT(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHARVLT(3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLTMAX(1)	0.360715564	0.360715564	0.360715564	0.360715564	0.3	0.3	0.3	0.3	0.3	0.3	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.360715564	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.429490627	0.429490627	0.429490627	0.429490627	0.429490627	0.429490627
FLTMAX(2)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
FLTMAX(3)	0.3	0.3	0.3	0.3	0.261429787	0.261429787	0.261429787	0.261429787	0.396933793	0.396933793	0.261429787	0.261429787	0.396933793	0.396933793	0.396933793	0.396933793	0.3	0.3	0.3	0.3	0.301793668	0.301793668	0.371698134	0.371698134	0.371698134	0.371698134	0.304800666	0.304800666	0.304800666	0.304800666	0.272100187	0.272100187
FPT(1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPT(2)	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
FPT(3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FST(1)	0.550420848	0.550420848	0.550420848	0.550420848	0.4	0.4	0.4	0.4	0.4	0.4	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.550420848	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.419873873	0.419873873	0.419873873	0.419873873	0.419873873	0.419873873
FST(2)	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
FST(3)	0.4	0.4	0.4	0.4	0.276096252	0.276096252	0.276096252	0.276096252	0.367960711	0.367960711	0.276096252	0.276096252	0.367960711	0.367960711	0.367960711	0.367960711	0.4	0.4	0.4	0.4	0.37112335	0.37112335	0.396461634	0.396461634	0.396461634	0.396461634	0.382085706	0.382085706	0.382085706	0.382085706	0.506291475	0.506291475
FTCLMINT(1)	0.176863332	0.176863332	0.176863332	0.176863332	0.2	0.2	0.2	0.2	0.2	0.2	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.176863332	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.290064577	0.290064577	0.290064577	0.290064577	0.290064577	0.290064577
FTCLMINT(2)	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
FTCLMINT(3)	0.2	0.2	0.2	0.2	0.233582774	0.233582774	0.233582774	0.233582774	0.229277521	0.229277521	0.233582774	0.233582774	0.229277521	0.229277521	0.229277521	0.229277521	0.2	0.2	0.2	0.2	0.225486961	0.225486961	0.186599845	0.186599845	0.186599845	0.186599845	0.173781888	0.173781888	0.173781888	0.173781888	0.261718022	0.261718022
FWT(1)	0.829753211	0.829753211	0.829753211	0.829753211	0.7	0.7	0.7	0.7	0.7	0.7	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.829753211	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.650579226	0.650579226	0.650579226	0.650579226	0.650579226	0.650579226
FWT(2)	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
FWT(3)	0.7	0.7	0.7	0.7	0.537161682	0.537161682	0.537161682	0.537161682	0.761055161	0.761055161	0.537161682	0.537161682	0.761055161	0.761055161	0.761055161	0.761055161	0.7	0.7	0.7	0.7	0.612766545	0.612766545	0.80627743	0.80627743	0.80627743	0.80627743	0.614433526	0.614433526	0.614433526	0.614433526	0.58462494	0.58462494
KAC(1)	9.075578333	9.075578333	9.075578333	9.075578333	6	6	6	6	6	6	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	9.075578333	6	6	6	6	6	6	6	6	6	6	6.040505709	6.040505709	6.040505709	6.040505709	6.040505709	6.040505709
KAC(2)	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
KAC(3)	6	6	6	6	6.72254803	6.72254803	6.72254803	6.72254803	6.739034428	6.739034428	6.72254803	6.72254803	6.739034428	6.739034428	6.739034428	6.739034428	6	6	6	6	7.991092061	7.991092061	5.135477777	5.135477777	5.135477777	5.135477777	5.930108787	5.930108787	5.930108787	5.930108787	4.574218742	4.574218742
KACEXP(1)	0.601816708	0.601816708	0.601816708	0.601816708	0.6	0.6	0.6	0.6	0.6	0.6	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.601816708	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.532619902	0.532619902	0.532619902	0.532619902	0.532619902	0.532619902
KACEXP(2)	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
KACEXP(3)	0.6	0.6	0.6	0.6	0.720488015	0.720488015	0.720488015	0.720488015	0.78993996	0.78993996	0.720488015	0.720488015	0.78993996	0.78993996	0.78993996	0.78993996	0.6	0.6	0.6	0.6	0.61974586	0.61974586	0.619528525	0.619528525	0.619528525	0.619528525	0.69034552	0.69034552	0.69034552	0.69034552	0.632228965	0.632228965
KH(1)	3.652890647	3.652890647	3.652890647	3.652890647	4	4	4	4	4	4	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	3.652890647	4	4	4	4	4	4	4	4	4	4	5.205993839	5.205993839	5.205993839	5.205993839	5.205993839	5.205993839
KH(2)	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
KH(3)	4	4	4	4	3.753666575	3.753666575	3.753666575	3.753666575	2.977288141	2.977288141	3.753666575	3.753666575	2.977288141	2.977288141	2.977288141	2.977288141	4	4	4	4	4.497667248	4.497667248	4.42562398	4.42562398	4.42562398	4.42562398	4.748157516	4.748157516	4.748157516	4.748157516	4.009389666	4.009389666
KHEXP(1)	0.24659621	0.24659621	0.24659621	0.24659621	0.4	0.4	0.4	0.4	0.4	0.4	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.24659621	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.413759994	0.413759994	0.413759994	0.413759994	0.413759994	0.413759994
KHEXP(2)	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
KHEXP(3)	0.4	0.4	0.4	0.4	0.480969796	0.480969796	0.480969796	0.480969796	0.416273664	0.416273664	0.480969796	0.480969796	0.416273664	0.416273664	0.416273664	0.416273664	0.4	0.4	0.4	0.4	0.333563275	0.333563275	0.436092429	0.436092429	0.436092429	0.436092429	0.296269155	0.296269155	0.296269155	0.296269155	0.289064921	0.289064921
KNFIX(1)	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
KNFIX(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KNFIX(3)	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0.05	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0.05	0.05	0.05	0.05	0	0
LAIMAXT(1)	4.687675184	4.687675184	4.687675184	4.687675184	5	5	5	5	5	5	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	4.687675184	5	5	5	5	5	5	5	5	5	5	5.361351371	5.361351371	5.361351371	5.361351371	5.361351371	5.361351371
LAIMAXT(2)	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LAIMAXT(3)	5	5	5	5	6.111307158	6.111307158	6.111307158	6.111307158	6.037952904	6.037952904	6.111307158	6.111307158	6.037952904	6.037952904	6.037952904	6.037952904	5	5	5	5	6.189313731	6.189313731	4.619772404	4.619772404	4.619772404	4.619772404	5.546283735	5.546283735	5.546283735	5.546283735	5.486316433	5.486316433
LUEMAX(1)	0.001061764	0.001061764	0.001061764	0.001061764	0.001	0.001	0.001	0.001	0.001	0.001	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001061764	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.000888852	0.000888852	0.000888852	0.000888852	0.000888852	0.000888852
LUEMAX(2)	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
LUEMAX(3)	0.001	0.001	0.001	0.001	0.000798827	0.000798827	0.000798827	0.000798827	0.000784021	0.000784021	0.000798827	0.000798827	0.000784021	0.000784021	0.000784021	0.000784021	0.001	0.001	0.001	0.001	0.000965207	0.000965207	0.000889482	0.000889482	0.000889482	0.000889482	0.001213993	0.001213993	0.001213993	0.001213993	0.001689264	0.001689264
NCLMAXT(1)	0.127442595	0.127442595	0.127442595	0.127442595	0.1	0.1	0.1	0.1	0.1	0.1	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.127442595	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.092825431	0.092825431	0.092825431	0.092825431	0.092825431	0.092825431
NCLMAXT(2)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
NCLMAXT(3)	0.1	0.1	0.1	0.1	0.107369253	0.107369253	0.107369253	0.107369253	0.104697951	0.104697951	0.107369253	0.107369253	0.104697951	0.104697951	0.104697951	0.104697951	0.1	0.1	0.1	0.1	0.111507828	0.111507828	0.083970181	0.083970181	0.083970181	0.083970181	0.10836515	0.10836515	0.10836515	0.10836515	0.092291166	0.092291166
SLAT(1)	28.06941431	28.06941431	28.06941431	28.06941431	30	30	30	30	30	30	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	28.06941431	30	30	30	30	30	30	30	30	30	30	37.39680078	37.39680078	37.39680078	37.39680078	37.39680078	37.39680078
SLAT(2)	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
SLAT(3)	30	30	30	30	18.05140888	18.05140888	18.05140888	18.05140888	20.87104773	20.87104773	18.05140888	18.05140888	20.87104773	20.87104773	20.87104773	20.87104773	30	30	30	30	27.9771095	27.9771095	34.38608129	34.38608129	34.38608129	34.38608129	22.64760462	22.64760462	22.64760462	22.64760462	24.56833037	24.56833037
TBEFOREPT(1)	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
TBEFOREPT(2)	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
TBEFOREPT(3)	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825	1825
TCBT(1)	2059.362441	2059.362441	2059.362441	2059.362441	1800	1800	1800	1800	1800	1800	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	2059.362441	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1096.182493	1096.182493	1096.182493	1096.182493	1096.182493	1096.182493
TCBT(2)	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800
TCBT(3)	1800	1800	1800	1800	2582.691839	2582.691839	2582.691839	2582.691839	1466.739294	1466.739294	2582.691839	2582.691839	1466.739294	1466.739294	1466.739294	1466.739294	1800	1800	1800	1800	2568.261022	2568.261022	1613.420458	1613.420458	1613.420458	1613.420458	1898.677631	1898.677631	1898.677631	1898.677631	2030.315149	2030.315149
TCLMAXT(1)	649.41047	649.41047	649.41047	649.41047	650	650	650	650	650	650	649.41047	649.41047	649.41047	649.41047	649.41047	649.41047	650	650	650	650	650	650	650	650	650	650	958.1157323	958.1157323	958.1157323	958.1157323	958.1157323	958.1157323
TCLMAXT(2)	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
TCLMAXT(3)	650	650	650	650	673.5259329	673.5259329	673.5259329	673.5259329	863.7785544	863.7785544	673.5259329	673.5259329	863.7785544	863.7785544	863.7785544	863.7785544	650	650	650	650	711.2649616	711.2649616	1039.373314	1039.373314	1039.373314	1039.373314	475.4953941	475.4953941	475.4953941	475.4953941	441.4072242	441.4072242
TCRT(1)	3983.420172	3983.420172	3983.420172	3983.420172	4500	4500	4500	4500	4500	4500	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	3983.420172	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	3365.071947	3365.071947	3365.071947	3365.071947	3365.071947	3365.071947
TCRT(2)	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500	4500
TCRT(3)	4500	4500	4500	4500	5245.063681	5245.063681	5245.063681	5245.063681	4027.051944	4027.051944	5245.063681	5245.063681	4027.051944	4027.051944	4027.051944	4027.051944	4500	4500	4500	4500	5084.119242	5084.119242	5066.064411	5066.064411	5066.064411	5066.064411	3550.662573	3550.662573	3550.662573	3550.662573	3329.462831	3329.462831
TCST(1)	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
TCST(2)	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
TCST(3)	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
TOPTT(1)	24.37833204	24.37833204	24.37833204	24.37833204	25	25	25	25	25	25	24.37833204	24.37833204	24.37833204	24.37833204	24.37833204	24.37833204	25	25	25	25	25	25	25	25	25	25	25.89366984	25.89366984	25.89366984	25.89366984	25.89366984	25.89366984
TOPTT(2)	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
TOPTT(3)	25	25	25	25	25.03257849	25.03257849	25.03257849	25.03257849	27.39299387	27.39299387	25.03257849	25.03257849	27.39299387	27.39299387	27.39299387	27.39299387	25	25	25	25	23.70471378	23.70471378	23.26821501	23.26821501	23.26821501	23.26821501	24.07639068	24.07639068	24.07639068	24.07639068	25.70000706	25.70000706
TTOLT(1)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
TTOLT(2)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
TTOLT(3)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
CAtreeMAX(1)	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
CAtreeMAX(2)	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
CAtreeMAX(3)	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
HMAX(1)	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	8	8	8	8	8	8
HMAX(2)	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
HMAX(3)	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
PRUNTARGET(1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRUNTARGET(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRUNTARGET(3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THINTARGET(1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THINTARGET(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THINTARGET(3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREEDENS0(1)	0.07	0.07	0.07	0.07	0	0	0	0	0	0	0.0325	0.0325	0.0325	0.0325	0.0325	0.0325	0	0	0	0	0	0	0	0	0	0	0.0333	0.0333	0.0333	0.0333	0.0333	0.0333
TREEDENS0(2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREEDENS0(3)	0	0	0	0	0.07	0.07	0.07	0.07	0.07	0.07	0.0325	0.0325	0.0325	0.0325	0.0325	0.0325	0	0	0	0	0.0666	0.0666	0.0666	0.0666	0.0666	0.0666	0.0333	0.0333	0.0333	0.0333	0.0333	0.0333
CNSOM0MULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CSOM0MULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FWCWPMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WCSTMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SHADETARGETMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
